seed,model,balanced_accuracy
20260810,native_masktopo,0.7433333333333334
20260810,aligned_masktopo,0.7433333333333334
20260810,ph_only,0.7191666666666667
20260810,ph_guided,0.7008333333333334
20260811,native_masktopo,0.7266666666666667
20260811,aligned_masktopo,0.7275
20260811,ph_only,0.7041666666666666
20260811,ph_guided,0.7033333333333334
20260812,native_masktopo,0.7783333333333333
20260812,aligned_masktopo,0.7783333333333333
20260812,ph_only,0.7166666666666667
20260812,ph_guided,0.7116666666666667
