seed,model,balanced_accuracy,parameters
20260820,grid_external,0.5791666666666666,149123
20260820,mask_assignment_identity,0.6566666666666667,149123
20260820,shuffled_topology,0.6166666666666667,149123
20260820,mask_topo_external,0.7408333333333333,149123
20260820,tokenlearner,0.6566666666666667,190731
20260820,perceiver_resampler,0.5,254211
20260820,tome_style,0.6283333333333333,149315
20260820,g2tm_fixedk_mask,0.6950000000000001,153411
20260821,grid_external,0.565,149123
20260821,mask_assignment_identity,0.7158333333333333,149123
20260821,shuffled_topology,0.5891666666666666,149123
20260821,mask_topo_external,0.7525,149123
20260821,tokenlearner,0.6325,190731
20260821,perceiver_resampler,0.5875,254211
20260821,tome_style,0.625,149315
20260821,g2tm_fixedk_mask,0.6708333333333334,153411
20260822,grid_external,0.5891666666666666,149123
20260822,mask_assignment_identity,0.6966666666666667,149123
20260822,shuffled_topology,0.5516666666666666,149123
20260822,mask_topo_external,0.755,149123
20260822,tokenlearner,0.6225,190731
20260822,perceiver_resampler,0.5,254211
20260822,tome_style,0.6225,149315
20260822,g2tm_fixedk_mask,0.6483333333333334,153411
